Job Number,Rig,Well,Project Code,Client,Job Description,Status,Start Date,End Date,Legal Number,Emdad Invoice No.,Invoiced Amount,Net Invoice Amount,Net SubContract,Invoice Date,Fiscal Year,PO Number,Cost
Job-023-00001,AL YASAT,ZK-89.5-68,444558,ADNOC OFFSHORE,Rental Tools,Completed,28-May-23,07-Jun-23,FSH-02620,208801,"3,765.91",,0.00,26-Jul-23,2024,4200222381,0.00
Job-023-00002,AD-90,QW-15,16358.13.Rev1,ADNOC ONSHORE - FISHING,SINGLE COMPLETION RECOVEY,Completed,22-Jun-23,30-Jun-23,FSH-02625,208898,"12,995.36",,0.00,17-Aug-23,2024,,"-12,995.36"
Job-023-00002-1,AD-90,QW-15,16358.13.Rev1,ADNOC ONSHORE - FISHING,SINGLE COMPLETION RECOVEY,Completed,22-Jun-23,30-Jun-23,CN-21023,209149,"-12,995.36",,0.00,17-Aug-23,2024,,0.00
Job-023-00002-2,AD-90,QW-15,16358.13.Rev1,ADNOC ONSHORE - FISHING,SINGLE COMPLETION RECOVEY,Completed,22-Jun-23,30-Jun-23,FSH-02666,209043,"10,234.68",,0.00,12-Sep-23,2024,4200349004,0.00
Job-023-00003,ALBZOOM,ZK-359,444558,ADNOC OFFSHORE,DOWN HOLE RENTALS,Completed,14-Jul-23,01-Aug-23,FSH-02624,208892,"4,545.60",,0.00,16-Aug-23,2024,,"-4,545.60"
Job-023-00003-1,ALBZOOM,ZK-359,444558,ADNOC OFFSHORE,DOWN HOLE RENTALS,Completed,14-Jul-23,01-Aug-23,CN-21022,209147,"-4,545.60",,0.00,16-Aug-23,2024,,0.00
Job-023-00003-2,ALBZOOM,ZK-359,444558,ADNOC OFFSHORE,DOWN HOLE RENTALS,Completed,14-Jul-23,01-Aug-23,FSH-02722,209207,"10,227.48",,0.00,28-Sep-23,2024,4200228871,0.00
Job-023-00004,AD-10,BU-580,16358.13.Rev1,ADNOC ONSHORE - FISHING,DUAL COMPLETION RECOVERY,Completed,19-Jul-23,05-Sep-23,FSH-02718,209194,"11,689.49",,0.00,02-Oct-23,2024,4200360078,0.00
Job-023-00026,AD-67,I3CAQ1,444558,ADNOC OFFSHORE,"12-1/4"" GDR",Completed,10-Sep-23,28-Sep-23,FSH-02731,209301,"4,971.68",,,10-Oct-23,2024,,"-4,220.25"
Job-023-00028,AD-33,GH-0024,4700015149,ADNOC DRILLING - FISHING,"16"" HOLE SECTION FISHING TOOLS",Completed,18-Jul-23,27-Sep-23,FSH-02918,210098,"17,832.87",,,16-Jan-24,2024,4200361521,"-7,088.34"
Job-023-00029,AD-136,SY-159,16358.13.Rev1,ADNOC ONSHORE - FISHING,TAPER MILL,Completed,,,,,,,0.00,,,,0.00
Job-023-00030,AD-33,GH-0024,4700015149,ADNOC DRILLING - FISHING,SPACER SPOOL,Completed,16-Jul-23,21-Oct-23,FSH-02919,210099,"9,097.77",,,16-Jan-24,2024,4200361521,"-6,252.25"
Job-023-00031,AD-33,GH-0024,4700015149,ADNOC DRILLING - FISHING,WWT TORQUE CLAMPS,Completed,31-Jul-23,20-Sep-23,FSH-02834,209813,"29,162.82",,0.00,14-Dec-23,2024,,0.00
Job-023-00032,AD-33,GH-0024,4700015149,ADNOC DRILLING - FISHING,"12-1/4"" HOLE SECTION FISHING TOOLS",Completed,31-Jul-23,23-Sep-23,FSH-02835,209814,"2,561.00",,,14-Dec-23,2024,4200361521,"-1,099.80"
Job-023-00033,AD-183,BB-229,16358.13.Rev1,ADNOC ONSHORE - FISHING,DUAL COMPLETION,Completed,15-Sep-23,18-Oct-23,FSH-02849,209834,"49,410.91",,,15-Dec-23,2024,4200380418,"-17,874.37"
Job-023-00034,ALNOOF,US057,444558,ADNOC OFFSHORE,"3-1/2"" SWIVEL MASTER",Completed,19-Sep-23,02-Oct-23,FSH-02763,209477,"62,974.14",,,27-Oct-23,2024,,"-52,471.58"
Job-023-00035,GW-70,BB-690,16358.13.Rev1,ADNOC ONSHORE - FISHING,"8-1/4"" SECTION MILL PACKAGE",Completed,14-Sep-23,22-Oct-23,FSH-02848,209833,"64,840.57",,0.00,18-Dec-23,2024,4200371632,"-5,082.84"
Job-023-00036,AD-66,WD-007,444558,ADNOC OFFSHORE,"12-1/4"" JUNK MILL",Completed,03-Sep-23,18-Oct-23,FSH-02939,210162,"5,657.50",,,23-Jan-24,2024,4200365258,"-3,796.49"
Job-023-00037,AD-09,BB-707,16358.13.Rev1,ADNOC ONSHORE - FISHING,DUAL COMPLETION RECOVERY,Completed,19-Sep-23,24-Oct-23,FSH-02806,209747,"58,989.30",,0.00,05-Nov-23,2024,4200376005,-971.89
Job-023-00038,SMS ESSA,US-119,444558,ADNOC OFFSHORE,"12"" GUNDRILL REAMER",Completed,22-Sep-23,05-Nov-23,FSH-02825,209798,"44,272.17",,,13-Dec-23,2024,4200222394,"-35,214.65"
Job-023-00039,AD-33,"GH-0023, C1-4-10",4700015149,ADNOC DRILLING - FISHING,"8-1/2"" HOLE SECTION FISHING TOOL PACKAGE",Completed,01-Jul-23,05-Aug-23,FSH-02868,209865,"37,389.83",,0.00,15-Dec-23,2024,4200361521,0.00
Job-023-00040,AD-69,P2R072,444558,ADNOC OFFSHORE,"15-7/8"" GUNDRILL REAMER",Completed,18-Sep-23,14-Oct-23,FSH-02769,209552,"15,625.20",,,07-Nov-23,2024,,"-13,281.25"
Job-023-00041,QARNIN,BM-006,444558,ADNOC OFFSHORE,"36"" STRING STABILIZER PACKAGE",Completed,14-Sep-23,29-Sep-23,FSH-02771,209580,"3,973.41",,,07-Nov-23,2024,,"-1,304.10"
Job-023-00042,AB-1,ZK-020,444558,ADNOC OFFSHORE,ADAPTOR SPOOL,Completed,15-Sep-23,22-Sep-23,FSH-02765,209480,304.71,,,27-Oct-23,2024,,-274.19
Job-023-00043,AD-33,GH-0025,4700015149,ADNOC DRILLING - FISHING,"9-1/2"" SHOCK TOOL",Completed,23-Sep-23,16-Oct-23,FSH-02833,209809,"1,293.36",,,13-Dec-23,2024,4200361521,"-1,425.00"
Job-023-00044,QARNIN,BM-006,444558,ADNOC OFFSHORE,"29-1/2"" DIVERTOR BOP",Completed,15-Sep-23,13-Oct-23,FSH-02768,209550,"37,851.97",,,06-Nov-23,2024,,"-32,860.46"
Job-023-00045,AD-136,SY-159,16358.13.Rev1,ADNOC ONSHORE - FISHING,"6"" TAPER MILL",Completed,23-Sep-23,28-Sep-23,FSH-02758,209441,267.08,,0.00,24-Oct-23,2024,4200379888,0.00
Job-023-00046,AD-69,P2R072,444558,ADNOC OFFSHORE,"16"" & 12-1/4"" FISHING PACKAGE",Completed,23-Sep-23,30-Oct-23,FSH-02816,209788,"7,462.46",,,12-Dec-23,2024,4200222378,"-6,480.18"
Job-023-00047-1,AL BATEEL,ZK-070,444558,ADNOC OFFSHORE,"29-1/2"" DIVERTER PACKAGE",Completed,22-Sep-23,04-Nov-23,FSH-02832,209808,"46,854.98",,,13-Dec-23,2024,4200295620,0.00
Job-023-00047-2,AL BATEEL,ZK-070,444558,ADNOC OFFSHORE,"29-1/2"" DIVERTER PACKAGE",Completed,22-Sep-23,04-Nov-23,FSH-02726,209222,"4,428.28",,,06-Oct-23,2024,,"-46,902.18"
Job-023-00047-3,AL BATEEL,ZK-070,444558,ADNOC OFFSHORE,"29-1/2"" DIVERTER PACKAGE",Completed,22-Sep-23,04-Nov-23,CN-21201,211380,"-4,428.28",,,02-Jul-24,2025,,0.00
Job-023-00048,GW-154,BB-455,16358.13.Rev1,ADNOC ONSHORE - FISHING,"8-1/8"" & 5-3/4"" FISHING PACKAGE",Completed,25-Sep-23,28-Sep-23,FSH-02797,209724,"2,968.60",,0.00,28-Nov-23,2024,4200374907,0.00
Job-023-00049,JUNANA,ZK77_69.1,444558,ADNOC OFFSHORE,"29-1/2"" DIVERTER PACKAGE",Completed,23-Sep-23,25-Oct-23,FSH-02790,209661,"30,206.46",,,15-Nov-23,2024,,"-27,403.19"
Job-023-00050,NURAI,ZK-102,444558,ADNOC OFFSHORE,"15-7/8"" GDR",Completed,23-Sep-23,19-Oct-23,FSH-02770,209553,"15,625.20",,,07-Nov-23,2024,,"-13,281.25"
Job-023-00051,SMS ESSA,US-119,444558,ADNOC OFFSHORE,"12-1/4"" FISHING PACKAGE",Completed,29-Aug-23,06-Nov-23,FSH-02809,209771,"8,149.91",,,11-Dec-23,2024,,0.00
Job-023-00052,AL ITTIHAD,ZK-076,444558,ADNOC OFFSHORE,"11-3/4"" CUTTER PACKAGE",Completed,08-Sep-23,05-Oct-23,FSH-02815,209786,"42,179.94",,,12-Dec-23,2024,,"-23,522.89"
Job-023-00053,AD-68,UZ-690-12-06BC,444558,ADNOC OFFSHORE,"8-1/2"" HOLE SECTION",Completed,01-Jul-23,09-Oct-23,FSH-02794,209675,"48,753.17",,0.00,16-Nov-23,2024,4200222375,"-38,703.34"
Job-023-00054,AD-69,P2R072,444558,ADNOC OFFSHORE,"12-1/8"" GUN DRILL REAMER",Completed,27-Sep-23,30-Oct-23,FSH-02830,209806,"17,093.28",,,13-Dec-23,2024,4200222378,"-12,113.35"
